material,quantity,year
chromium,0,2020
chromium,0,2030
chromium,0,2040
copper,345.970741474295,2020
copper,501.539824527926,2030
copper,795.297350820511,2040
manganese,0,2020
manganese,0,2030
manganese,0,2040
molybdenum,0.0693070375454711,2020
molybdenum,0.114764944254882,2030
molybdenum,0.188254648314521,2040
nickel,0.13223636931937,2020
nickel,0.187651158512948,2030
nickel,0.300347490399365,2040
rare earths,0,2020
rare earths,0,2030
rare earths,0,2040
silicon,389.973399039861,2020
silicon,451.807272428875,2030
silicon,675.164101905261,2040
silver,1.96246293450288,2020
silver,2.08841871891716,2030
silver,2.23691615068155,2040
zinc,3.17439263258457,2020
zinc,4.53846751558249,2030
zinc,7.33170659660543,2040
